"","Sample","GENE","%COVERAGE","%IDENTITY","PRODUCT","RESISTANCE"
"1","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"2","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"3","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"4","SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"5","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"6","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"7","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"8","SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"9","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"10","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"11","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"12","SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"13","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"14","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"15","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"16","SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"17","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"18","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"19","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"20","SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"21","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"22","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"23","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"24","SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"25","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"26","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"27","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"28","SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"29","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"30","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"31","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"32","SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"33","SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"34","SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"35","SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"36","SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"37","SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"38","SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"39","SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"40","SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"41","SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"42","SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"43","SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"44","SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"45","SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"46","SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"47","SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"48","SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"49","SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"50","SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"51","SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"52","SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"53","SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"54","SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"55","SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"56","SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"57","SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"58","SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"59","SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"60","SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"61","SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"62","SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"63","SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"64","SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"65","SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"66","SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"67","SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"68","SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"69","SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"70","SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"71","SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"72","SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"73","SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"74","SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"75","SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"76","SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"77","SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"78","SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"79","SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"80","SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"81","SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"82","SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"83","SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"84","SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"85","SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"86","SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"87","SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"88","SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"89","SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"90","SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"91","SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
"92","SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"93","SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","FosX","100","100","FosX is an enzyme used to confer resistance to fosfomycin. It's dependent on the cofactor manganese (II) and uses water to generate a vicinal diol.","fosfomycin"
"94","SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","Listeria_monocytogenes_mprF","100","95.53","MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane including defensins.","peptide"
"95","SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","lin","100","94.66","Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein complete CDS.","lincosamide"
"96","SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017","norB","100","94.86","NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA also known as NorR.","fluoroquinolone"
